IncidentCode,SupplierID,SupplierName,Region,SupplierCategory,ReliabilityScore,WarehouseLocation,ShipmentStatus,DeliveryDelayDays,TransportationCost,InventoryLevel,DemandForecast,IncidentCategory,Title,Description,Severity,ImpactScore,OccurredAt,ResolutionStatus
INC-00001,SUP-002,Pacific Rim Manufacturing,Asia-Pacific,Raw Materials,48.96,Singapore,Delayed,13.05,13830.17,3695.53,2739.13,shipment,Transportation cost spike on Asia-Pacific routes,Freight costs from Asia-Pacific increased by 42% due to fuel surcharges and carrier capacity constraints.,high,5.97,2026-03-08,in_progress
INC-00002,SUP-001,GlobalTech Components,Asia-Pacific,Electronics,64.65,"Shanghai, China",On-Time,2.71,39170.22,2126.62,1851.92,demand,Demand surge exceeds GlobalTech Components capacity,"Q-on-Q demand has increased by 52%, exceeding current supply agreements with GlobalTech Components.",low,1.31,2025-10-22,closed
INC-00003,SUP-006,Andean Resources Ltd,South America,Raw Materials,82.91,"Houston, USA",On-Time,4.86,21025.91,1752.58,1131.63,inventory,Low inventory alert — Andean Resources Ltd components,Stock levels for Raw Materials components from Andean Resources Ltd have dropped below reorder point. Current: 1753 units vs demand forecast: 1132 units.,medium,4.1,2025-06-24,closed
INC-00004,SUP-010,Bay Area Tech Supplies,North America,Electronics,86.56,Singapore,On-Time,1.16,12191.3,394.3,2678.93,shipment,Weather-related disruption — North America,"Severe weather event in North America has disrupted logistics for Bay Area Tech Supplies, causing estimated 1-day delay.",critical,8.77,2025-10-28,open
INC-00005,SUP-003,EuroLogistics Partners,Europe,Logistics,85.65,"Sydney, Australia",On-Time,1.7,16149.82,4686.44,2627.34,supplier,EuroLogistics Partners quality control hold,Batch from EuroLogistics Partners placed on quality hold pending inspection. 4686 units temporarily unavailable.,low,1.54,2026-04-09,resolved
INC-00006,SUP-009,Midwest Components Inc,North America,Electronics,70.84,"Chicago, USA",In-Transit,8.04,42720.62,326.89,3305.03,shipment,Transportation cost spike on North America routes,Freight costs from North America increased by 25% due to fuel surcharges and carrier capacity constraints.,critical,8.81,2025-11-10,in_progress
INC-00007,SUP-008,Nordic Cold Chain,Europe,Logistics,93.71,"Tokyo, Japan",On-Time,1.01,41484.42,2717.94,3013.35,inventory,Stockout risk for Logistics components,"At current consumption rate, Logistics component stock will reach zero in 9 days without restocking.",low,1.99,2026-01-07,closed
INC-00008,SUP-001,GlobalTech Components,Asia-Pacific,Electronics,73.85,"Chicago, USA",On-Time,3.18,10479.05,3418.38,2426.0,inventory,Stockout risk for Electronics components,"At current consumption rate, Electronics component stock will reach zero in 16 days without restocking.",medium,4.72,2025-12-16,open
INC-00009,SUP-002,Pacific Rim Manufacturing,Asia-Pacific,Raw Materials,42.42,"Los Angeles, USA",In-Transit,5.53,16141.74,3222.76,535.05,inventory,Stockout risk for Raw Materials components,"At current consumption rate, Raw Materials component stock will reach zero in 29 days without restocking.",medium,4.52,2026-01-10,in_progress
INC-00010,SUP-002,Pacific Rim Manufacturing,Asia-Pacific,Raw Materials,47.89,"Mumbai, India",Delayed,8.63,35864.32,3064.4,696.07,supplier,Geopolitical risk — Asia-Pacific trade route,New regulatory requirements in Asia-Pacific affecting imports from Pacific Rim Manufacturing. Compliance timeline: 28 days.,high,6.15,2025-08-23,open
INC-00011,SUP-002,Pacific Rim Manufacturing,Asia-Pacific,Raw Materials,54.27,Singapore,Delayed,6.99,46078.27,1572.19,325.91,inventory,Stockout risk for Raw Materials components,"At current consumption rate, Raw Materials component stock will reach zero in 16 days without restocking.",medium,4.53,2026-03-19,open
INC-00012,SUP-008,Nordic Cold Chain,Europe,Logistics,94.84,"Houston, USA",On-Time,0.7,29966.71,3052.64,3861.02,shipment,Port congestion affecting Nordic Cold Chain shipments,"Congestion at Houston, USA port is causing 1-day delays for all Nordic Cold Chain shipments.",low,1.88,2026-03-05,in_progress
INC-00013,SUP-008,Nordic Cold Chain,Europe,Logistics,94.58,"Shanghai, China",On-Time,1.05,19918.53,2962.13,997.45,shipment,Nordic Cold Chain delivery delayed by customs clearance,"Shipment from Nordic Cold Chain held at Shanghai, China customs for 1 days due to documentation issues.",low,2.72,2025-09-22,open
INC-00014,SUP-009,Midwest Components Inc,North America,Electronics,70.56,"Tokyo, Japan",In-Transit,10.19,13354.55,704.94,3748.51,shipment,Transportation cost spike on North America routes,Freight costs from North America increased by 36% due to fuel surcharges and carrier capacity constraints.,critical,7.69,2026-03-21,resolved
INC-00015,SUP-007,Southeast Asia Textiles,Asia-Pacific,Manufacturing,57.86,Singapore,Delayed,12.29,47783.35,318.15,2648.48,shipment,Transportation cost spike on Asia-Pacific routes,Freight costs from Asia-Pacific increased by 13% due to fuel surcharges and carrier capacity constraints.,critical,7.88,2026-04-28,in_progress
INC-00016,SUP-008,Nordic Cold Chain,Europe,Logistics,94.03,Singapore,On-Time,1.05,26519.29,4378.71,394.0,inventory,Low inventory alert — Nordic Cold Chain components,Stock levels for Logistics components from Nordic Cold Chain have dropped below reorder point. Current: 4379 units vs demand forecast: 394 units.,low,2.85,2026-03-10,closed
INC-00017,SUP-004,NorAm Supply Chain,North America,Packaging,67.89,"Shanghai, China",In-Transit,10.69,13328.61,2035.15,328.68,demand,Demand surge exceeds NorAm Supply Chain capacity,"Q-on-Q demand has increased by 64%, exceeding current supply agreements with NorAm Supply Chain.",high,6.35,2025-12-13,resolved
INC-00018,SUP-009,Midwest Components Inc,North America,Electronics,66.96,"Shanghai, China",On-Time,1.56,12064.59,1127.62,328.08,inventory,Stockout risk for Electronics components,"At current consumption rate, Electronics component stock will reach zero in 5 days without restocking.",low,2.84,2026-03-06,in_progress
INC-00019,SUP-003,EuroLogistics Partners,Europe,Logistics,93.58,"Chicago, USA",On-Time,1.62,47121.15,389.18,365.05,supplier,Geopolitical risk — Europe trade route,New regulatory requirements in Europe affecting imports from EuroLogistics Partners. Compliance timeline: 27 days.,low,1.08,2025-09-30,open
INC-00020,SUP-007,Southeast Asia Textiles,Asia-Pacific,Manufacturing,57.45,"Rotterdam, Netherlands",On-Time,1.87,18767.6,1340.79,2711.93,shipment,Weather-related disruption — Asia-Pacific,"Severe weather event in Asia-Pacific has disrupted logistics for Southeast Asia Textiles, causing estimated 2-day delay.",high,6.13,2025-11-09,closed
INC-00021,SUP-002,Pacific Rim Manufacturing,Asia-Pacific,Raw Materials,51.95,"Dubai, UAE",Delayed,12.79,31838.66,544.91,2196.77,shipment,Transportation cost spike on Asia-Pacific routes,Freight costs from Asia-Pacific increased by 17% due to fuel surcharges and carrier capacity constraints.,high,6.24,2026-02-16,open
INC-00022,SUP-008,Nordic Cold Chain,Europe,Logistics,95.92,"Sydney, Australia",On-Time,0.13,34418.92,4936.8,2650.51,supplier,Nordic Cold Chain reliability score degradation,"Supplier Nordic Cold Chain has shown a pattern of late deliveries over the past 30 days, averaging 0.1 days behind schedule.",low,1.53,2025-06-06,open
INC-00023,SUP-009,Midwest Components Inc,North America,Electronics,72.28,"Mumbai, India",Delayed,7.36,13163.37,1747.26,2781.24,inventory,Low inventory alert — Midwest Components Inc components,Stock levels for Electronics components from Midwest Components Inc have dropped below reorder point. Current: 1747 units vs demand forecast: 2781 units.,high,6.77,2025-10-15,closed
INC-00024,SUP-005,Gulf Region Distributors,Middle East,Manufacturing,62.33,"Mumbai, India",Delayed,10.33,8933.44,4900.0,730.17,inventory,Low inventory alert — Gulf Region Distributors components,Stock levels for Manufacturing components from Gulf Region Distributors have dropped below reorder point. Current: 4900 units vs demand forecast: 730 units.,high,7.39,2026-01-14,resolved
INC-00025,SUP-003,EuroLogistics Partners,Europe,Logistics,78.9,"São Paulo, Brazil",On-Time,0.66,32873.01,783.06,597.04,shipment,Port congestion affecting EuroLogistics Partners shipments,"Congestion at São Paulo, Brazil port is causing 1-day delays for all EuroLogistics Partners shipments.",low,1.42,2025-11-06,open
INC-00026,SUP-002,Pacific Rim Manufacturing,Asia-Pacific,Raw Materials,41.12,"Los Angeles, USA",Critical,18.41,48359.77,4870.49,3022.96,supplier,Pacific Rim Manufacturing quality control hold,Batch from Pacific Rim Manufacturing placed on quality hold pending inspection. 4870 units temporarily unavailable.,critical,7.55,2025-10-01,resolved
INC-00027,SUP-006,Andean Resources Ltd,South America,Raw Materials,80.04,"Houston, USA",On-Time,0.88,37505.08,3688.53,1067.85,shipment,Transportation cost spike on South America routes,Freight costs from South America increased by 16% due to fuel surcharges and carrier capacity constraints.,low,1.4,2025-08-22,in_progress
INC-00028,SUP-006,Andean Resources Ltd,South America,Raw Materials,75.97,"Dubai, UAE",In-Transit,7.59,14062.56,167.14,853.21,shipment,Port congestion affecting Andean Resources Ltd shipments,"Congestion at Dubai, UAE port is causing 8-day delays for all Andean Resources Ltd shipments.",critical,8.78,2025-11-17,in_progress
INC-00029,SUP-009,Midwest Components Inc,North America,Electronics,69.42,"Shanghai, China",In-Transit,5.72,48483.04,1343.02,2364.3,supplier,Midwest Components Inc quality control hold,Batch from Midwest Components Inc placed on quality hold pending inspection. 1343 units temporarily unavailable.,medium,4.21,2025-10-15,in_progress
